"Aziende_nel_Database";"Settore";"ATECO";"Attivita";"Regioni";"Presenza_in_Lista_CONSOB";"Regime_di_rendicontazione";"Denominazione_DNF";"Modalita_di_rendicontazione";"N_Pag_DNF";"N_Pag_Sezione_ECN";"N_Pag_Sezione_ENV";"N_Pag_Sezione_SOC";"N_Pag_Sezione_CGV";"Presenza_del_Comitato_di_Sostenibilita";"Comitato_di_Sostenibilita_incluso_in_organi_endoconsigliari";"Piano_di_Sostenibilita";"Piano_di_sostenibilita_integrato_nel_piano_industriale";"Presenza_di_KPIs_e_benchmark_con_anni_pregressi";"Obiettivi_Target_ESG_breve_termine_1_2_anni_riportati";"Obiettivi_Target_ESG_lungo_termine_3_anni_riportati";"Obiettivi_Target_ENV_riportati";"Obiettivi_Target_SOC_riportati";"Sistemi_di_incentivazione_legati_alla_sostenibilita";"Integrazione_rischi_ESG_nei_sistemi_di_gestione";"Opzione_GRI_adottata";"Integrazione_con_altri_framework";"Acronimo_Integrazione_con_altri_framework";"Riferimento_a_SDGs";"SDGs_correlati_a_temi_materiali";"SDGs_correlati_a_futuri_obiettivi";"Rappresentazione_temi_materiali";"Stakeholder_engagement";"Dipendenti";"Clienti";"Fornitori";"Modalita_di_coinvolgimento_degli_stakeholder";"GRI_305_1_tCo2";"GRI_305_2_Location_Based_tCo2";"GRI_305_2_Market_Based_tCo2";"GRI_305_2_No_Method_tCo2";"GRI_305_3_tCo2";"GRI_302_1_GJ";"GRI_303_1_m3";"GRI_303_3_m3";"GRI_303_5_m3";"GRI_306_2_Short_Ton";"Emission_Intensity_Tot_GHG_scope1_piu_scope2_TOT_dipendenti";"Valore_Economico_Distribuito_ai_Fornitori_(%)";"Fornitori_valutati_su_criteri_ESG";"Rendicontazione_delle_performance_ambientali_dei_fornitori";"Rendicontazione_delle_performance_sociali_dei_fornitori";"N_uomini_dipendenti";"N_donne_dipendenti";"Donne_nel_CdA_(%)";"Donne_in_posizioni_manageriali_di_vertice_(%)";"Disuguaglianza_salariale_di_genere_(%)";"Eta_media_dipendenti_(%)";"Dipendenti_con_eta_30_per";"Dipendenti_con_eta_30_50_per";"Dipendenti_con_eta_50_per";"Eta_media_in_CdA_(%)";"Membri_del_CdA_con_eta_30_per";"Membri_del_CdA_con_eta_30_50_per";"Membri_del_CdA_con_eta_50_per";"Name";"NameFile"
"RAI WAY";"Telecommunications";"	432101";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"100";"7";"15";"22";"7";"No";"No";"No";"Si";"No";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"No";"Si";"Entrambi";"Si";"Si";"Si";"Si";"N.R.";"1880";"";"";"601";"";"326368";"3457";"";"";"190";"4";"20";"No";"No";"No";"504";"111";"44";"17";"98";"47";"8";"48";"44";"56";"0";"22";"78";"173.pdf";"Rai Way - Bilancio di Sostenibilit"
"RATTI";"Textile";"133000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"102";"5";"13";"30";"5";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"8244";"2956";"3943";"";"";"178508";"";"408106";"";"868";"13";"54";"No";"No";"No";"284";"565";"33";"33";"";"42";"29";"37";"34";"56";"0";"22";"78";"141.pdf";"Gruppo-Ratti-Bilancio-di-Sostenibilit"
"RCS MEDIAGROUP";"Media and Publishing";"580000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"90";"4";"11";"41";"4";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"2689";"16240";"22310";"";"4231";"216174";"";"";"";"26948";"6";"50";"No";"No";"No";"1817";"1436";"33";"39";"87";"48";"3";"57";"40";"56";"0";"25";"75";"142.pdf";"GRUPPO-RCS-Dichiarazione-Consolidata-di-carattere-non-finanziario-2019-2.pdf"
"REALE GROUP";"Financial Services";"651000";"";"Piemonte";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"109";"5";"13";"38";"6";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"527";"3627";"45";"";"9267";"38456";"";"";"";"";"1";"";"No";"No";"No";"1968";"1750";"0";"31";"";"46";"6";"59";"35";"";"";"";"";"176.pdf";"REALE GROUP-DNF- finale per stampa.pdf"
"RECORDATI";"Healthcare and Pharma";"	212000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"75";"4";"17";"32";"0";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"N.R.";"36904";"10705";"8201";"";"";"626999";"2517554";"";"";"6683";"11";"44";"No";"No";"No";"2456";"2015";"";"28";"95";"44";"11";"63";"26";"";"";"";"";"112.pdf";"dnf-2019-ita.pdf"
"RENO DE MEDICI - RDM";"Manufacturing";"464000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"73";"1";"12";"17";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"436237";"73433";"99075";"";"";"992727";"19341473";"";"";"216978";"289";"";"No";"No";"No";"1603";"163";"43";"24";"";"47";"8";"51";"41";"54";"0";"29";"71";"175.pdf";"RDM-Group-Bilancio-di-Sostenibilit"
"REPLY";"Services";"	620100";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"51";"1";"5";"13";"1";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"SASB";"SASB";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"7628";"4935";"7121";"";"";"461550";"";"";"";"";"2";"";"No";"No";"No";"5878";"2279";"33";"19";"";"36";"33";"60";"7";"53";"0";"33";"67";"19.pdf";"2019_REPLY_Dichiarazione-Consolidata-carattere-non-finanziario.pdf"
"SABAF";"Manufacturing";"281400";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"78";"8";"6";"24";"13";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"Si";"Si";"Core";"UN Global Compact";"UN_GC";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"7793";"9979";"12484";"";"";"238887";"91925";"";"";"8841";"17";"60";"No";"No";"No";"657";"378";"33";"0";"";"41";"15";"69";"16";"61";"0";"0";"100";"188.pdf";"sabaf_rapporto_annuale_2019.pdf"
"SAES GROUP";"Electronics";"261109";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"79";"10";"9";"19";"2";"Si";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"3053";"8403";"10079";"";"";"136731";"76753";"";"";"2152";"12";"38";"No";"No";"No";"694";"293";"33";"14";"";"46";"12";"48";"40";"61";"0";"11";"89";"108.pdf";"DNF 2019_final.pdf"
"SAFILO GROUP";"Manufacturing";"325050";"";"Veneto";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"81";"3";"7";"24";"2";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"7082";"24745";"";"";"";"334225";"136544";"";"";"7086";"6";"63";"No";"No";"No";"2203";"3551";"";"42";"";"43";"11";"67";"22";"";"";"";"";"107.pdf";"DNF 2019_doppio_ITAv2.pdf"
"SAIPEM";"Construction and Engineering";"412000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"75";"4";"17";"26";"0";"Si";"No";"Si";"No";"Si (2017-2018)";"Si";"No";"Si";"Si";"No";"No";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1406";"32";"";"";"989221";"19147000";"6807700";"";"";"1051";"0";"72";"No";"No";"No";"28854";"3674";"44";"19";"86";"41";"13";"72";"15";"60";"0";"0";"100";"189.pdf";"SAIPEM_Relazione finanziaria annuale 2019.pdf"
"SALINI IMPREGILO";"Construction and Engineering";"410000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"86";"4";"21";"35";"1";"Si";"Si";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"350593";"";"";"43371";"61573";"6257183";"9967021";"";"";"6560907";"16";"73";"No";"No";"No";"22073";"2453";"33";"9";"85";"39";"26";"59";"15";"";"";"";"";"183.pdf";"Relazione-Finanziaria-Annuale-2019-DNF-2019.pdf"
"SALVATORE FERRAGAMO";"Textile";"	152010";"";"Toscana";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"109";"2";"11";"40";"2";"No";"No";"Si";"Si";"No";"No";"Si";"Si";"No";"No";"Si";"Core";"UN Global Compact";"UN_GC";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"1308";"13268";"";"";"44748";"139220";"";"";"";"";"3";"";"No";"No";"No";"1419";"2858";"38";"11";"";"39";"23";"66";"11";"54";"0";"30";"70";"47.pdf";"Bilancio-di-Sostenibilit-2019-Salvatore-Ferragamo.pdf"
"SARA ASSICURAZIONI";"Financial Services";"651200";"";"Lazio";"SI";"Servizi-Finanziari";"DNF";"Report-separato";"57";"6";"4";"19";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"568";"";"";"705";"";"15824";"";"";"";"";"2";"";"No";"No";"No";"364";"248";"33";"5";"92";"49";"2";"51";"47";"58";"0";"11";"89";"88.pdf";"Dichiarazione Non Finanziaria 2019.pdf"
"SARAS";"Oil and Gas";"192010";"";"Sardegna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"137";"3";"40";"33";"4";"No";"No";"No";"No";"Si (2015-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey";"6144137";"";"";"";"";"70655639";"22148791";"67304479";"";"81294";"3521";"";"No";"No";"No";"1506";"239";"19";"21";"";"45";"5";"67";"28";"57";"0";"25";"75";"190.pdf";"saras-bds2019_ita-midres-per-sito-final-08apr2020.pdf"
"SEA";"Logistics and Transport";"	522300";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"183";"3";"15";"14";"3";"Si";"Si";"Si";"No";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"181223";"572";"875";"";"2905";"2421982";"4425879";"";"";"11138";"64";"32";"No";"No";"No";"2050";"803";"43";"32";"96";"50";"0";"48";"52";"49";"0";"57";"43";"191.pdf";"sea_sustainabilityreport2019.pdf"
"SERI INDUSTRIAL SPA";"Manufacturing";"642000";"";"Campania";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"73";"5";"10";"15";"2";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"2259";"16814";"21557";"";"";"242340";"74145";"";"";"9517";"28";"70";"No";"No";"No";"543";"128";"29";"0";"";"46";"5";"60";"35";"51";"0";"43";"57";"4.pdf";"1.DNF SERI Industrial S.p.A. 2019 all relazione di revisione.pdf"
"SERVIZITALIA";"Services";"960110";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"116";"5";"17";"39";"5";"Si";"No";"Si";"No";"No";"No";"Si";"Si";"Si";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"45105";"10997";"13392";"";"3911";"1301076";"";"2109000";"";"";"15";"";"No";"No";"No";"1500";"2125";"36";"19";"";"44";"14";"57";"29";"51";"0";"45";"55";"93.pdf";"dichiarazione-consolidata-di-carattere-non-finanziario-report-di-sostenibilit-2019.pdf"
"SESA";"Services";"692010";"";"Toscana";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"55";"4";"8";"19";"4";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Mono-STK";"3207";"";"";"2433";"";"29168";"23652";"";"";"139";"3";"";"No";"No";"No";"1258";"642";"38";"14";"";"43";"15";"60";"25";"57";"";"";"";"186.pdf";"Report_di_sostenibilita_2019.pdf"
"SIT GROUP SPA";"Electronics";"265129";"";"Veneto";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"90";"5";"6";"31";"3";"Si";"Si";"Si";"No";"No";"Si";"No";"Si";"Si";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"5297";"9823";"12194";"";"";"186357";"135871";"";"";"6282";"7";"66";"No";"No";"No";"842";"1358";"22";"12";"";"43";"16";"58";"26";"58";"0";"11";"89";"192.pdf";"SIT-DNF-2019.pdf"
"SMAT";"Utilities";"360000";"";"Piemonte";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"269";"17";"60";"59";"7";"No";"No";"Si";"No";"Si (2015-2018)";"No";"Si";"Si";"Si";"No";"No";"Core; Comprehensive";"";"";"Si";"Si";"Si";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"8702";"";"";"16000";"";"579452";"";"337000000";"";"";"26";"52";"No";"No";"No";"724";"231";"40";"27";"";"51";"5";"37";"58";"";"";"";"";"52.pdf";"Bilancio-Sostenibilita-2019_completo.pdf"
"SNAITECH";"Services";"631111";"";"Lombardia";"NO";"DNF-Volontaria";"Report-di-Sostenibilita";"Report-separato";"172";"22";"10";"30";"1";"No";"No";"Si";"No";"Si (2016-2018)";"Si";"Si";"Si";"Si";"No";"No";"Core";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"1328";"";"";"111";"";"55133";"406125";"";"";"77002";"2";"";"No";"No";"No";"469";"451";"43";"32";"82";"";"";"";"";"49";"0";"43";"57";"193.pdf";"snaitech_2019_.pdf"
"SNAM";"Utilities";"701000";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"29";"3";"4";"9";"1";"Si";"No";"Si";"Si";"Si (2016-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact; SASB";"UN_GC_SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"1347";"";"";"";"";"12152200";"";"";"";"";"0";"";"No";"No";"No";"2584";"441";"33";"16";"";"46";"17";"38";"45";"56";"0";"22";"78";"9.pdf";"16_Dichiarazione_consolidata_di_carattere_non_finanziario_2019.pdf"
"SOCIET";"Financial Services";"651100";"";"Veneto";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"145";"10";"10";"42";"9";"Si";"Si";"No";"Si";"No";"Si";"No";"Si";"Si";"Si";"Si";"Core";"UN Global Compact; PRI Reporting Framework";"UN_GC_PRI";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"1589";"1780";"2327";"";"2027";"51702";"549981";"";"";"";"19";"";"No";"No";"No";"1057";"728";"35";"9";"";"47";"5";"57";"38";"60";"0";"0";"100";"70.pdf";"Cattolica_Assicurazioni_Rapporto di sostenibilit"
"SOGEFI";"Manufacturing";"642000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"132";"6";"38";"32";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"66177";"64740";"76410";"";"6161";"911588";"";"1280500";"4179";"32723";"19";"";"No";"No";"No";"5045";"1773";"38";"11";"88";"43";"17";"57";"26";"55";"0";"25";"75";"152.pdf";"ita-sogefi_dnf2019_ita_final1.pdf"
"SOL";"Chemicals";"	201100";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"82";"8";"10";"24";"3";"No";"No";"No";"No";"Si (2015-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"Si";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"94593";"";"281310";"";"";"2042896";"";"1371000";"";"9994";"87";"";"No";"No";"No";"2585";"1735";"55";"53";"";"43";"12";"64";"24";"58";"0";"9";"91";"194.pdf";"SOL_Rapporto Sostenibilita 2019-web.pdf"
"TEA";"Utilities";"701000";"";"Lombardia";"SI";"Altro-EIPR-obbligato";"DNF";"Report-separato";"93";"1";"17";"38";"2";"Si";"No";"No";"Si";"Si (2017-2018)";"No";"Si";"Si";"Si";"No";"Si";"Non Specificata";"";"";"Si";"Si";"No";"Lista";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"6335";"8557";"";"";"";"232767";"";"31785";"";"82831";"26";"";"No";"No";"No";"419";"153";"29";"30";"";"46";"7";"56";"37";"60";"0";"0";"100";"198.pdf";"Tea_DNF2019_def.pdf"
"TECHEDGE SPA";"Technology";"620200";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"50";"4";"4";"16";"3";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"No";"No";"No";"Entrambi";"No";"No";"No";"No";"N.R.";"1335";"230";"";"";"";"22043";"";"";"";"";"1";"30";"No";"No";"No";"1417";"580";"27";"21";"";"37";"28";"65";"7";"55";"0";"27";"73";"115.pdf";"dnf.pdf"
"TECHNOGYM";"Manufacturing";"323000";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"211";"1";"13";"65";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Referenced";"";"";"Si";"No";"No";"Lista";"Si";"Si";"Si";"No";"Survey; Workshop Mono-STK";"2524";"3025";"3025";"";"";"85819";"79279";"";"";"159";"3";"";"No";"No";"No";"1515";"607";"36";"16";"";"41";"15";"69";"16";"51";"9";"27";"64";"103.pdf";"dichiarazione_non_finanziaria_2019_1_0.pdf"
"TERNA";"Utilities";"	351200";"";"Lazio";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"276";"8";"36";"42";"3";"Si";"Si";"No";"Si";"Si (2017-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact; SASB; IIRC";"UN_GC_SASB_IIRC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"68404";"";"";"65247";"4297";"110575";"175116";"";"";"6521";"35";"";"Si";"Si";"Si";"3334";"538";"44";"20";"98";"41";"25";"45";"30";"56";"0";"22";"78";"199.pdf";"TERNA SOSTENIBILITA`_ 2019 ITA_8d7f34c2279d924.pdf"
"TESMEC";"Machine and Plant";"256200";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"32";"2";"6";"10";"2";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Core";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"5382";"1697";"2044";"";"";"119401";"";"";"";"1765";"8";"";"No";"No";"No";"792";"133";"50";"11";"";"41";"19";"60";"21";"47";"0";"63";"37";"185.pdf";"Relazione_finanziari_Annuale_Tesmec_2019_DEF_ITA.pdf"
"TIM";"Telecommunications";"610000";"";"Lombardia";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"181";"7";"18";"85";"5";"No";"No";"No";"Si";"Si (2016-2018)";"Si";"Si";"Si";"Si";"Si";"Si";"Comprehensive";"";"";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"153829";"559629";"641541";"";"59345";"295854";"1755882";"";"";"9695";"13";"40";"Si";"Si";"Si";"34772";"20421";"40";"28";"85";"49";"6";"46";"48";"57";"0";"13";"87";"161.pdf";"NFS-TIM-2019.pdf"
"TINEXTA (ex TECNOINVESTIMENTI)";"Services";"	701000";"";"Lazio";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"44";"5";"3";"8";"2";"No";"No";"No";"Si";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"";"";"";"";"";"";"";"";"";"";"";"40";"No";"No";"No";"562";"603";"45";"24";"";"";"";"";"";"55";"0";"27";"73";"179.pdf";"Relazione finanziaria 2019 Tinexta per sito.pdf"
"TISCALI";"Telecommunications";"610000";"";"Sardegna";"SI";"Societa-azioni-quotate";"Report-di-Sostenibilita";"Report-separato";"91";"6";"10";"24";"3";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"Si";"Si";"Si";"Si";"Survey";"170";"5503";"8471";"";"";"64920";"";"";"";"";"11";"85";"No";"No";"No";"249";"247";"36";"23";"";"43";"0";"86";"14";"54";"0";"28";"72";"200.pdf";"Tiscali Bilancio di Sostenibilit"
"TOD S";"Manufacturing";"152010";"";"Marche";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"114";"1";"12";"49";"3";"No";"No";"Si";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Matrice";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"2138";"13831";"";"";"3333";"157411";"160951";"";"";"9695";"3";"72";"No";"No";"No";"1700";"3115";"33";"57";"92";"40";"21";"64";"15";"60";"0";"13";"87";"180.pdf";"Relazione Finanziaria Annuale 2019, comprensiva di DNF.pdf"
"TOSCANA AEROPORTI";"Logistics and Transport";"522300";"";"Toscana";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"101";"6";"12";"65";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Referenced";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"8555";"";"";"3119";"";"71165";"160537";"";"";"";"32";"";"No";"No";"No";"428";"445";"33";"31";"93";"44";"3";"75";"22";"56";"0";"20";"80";"201.pdf";"Toscana Aeroporti_DNF_2019.pdf"
"TPER";"Logistics and Transport";"493100";"";"Emilia Romagna";"SI";"Altro-EIPR-obbligato";"Report-di-Sostenibilita";"Report-separato";"150";"13";"23";"42";"2";"No";"No";"Si";"Si";"Si (2014-2018)";"Si";"Si";"Si";"Si";"No";"Si";"Core";"UN Global Compact; SASB";"UN_GC_SASB";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey";"57684";"";"";"16062";"8225";"1192767";"";"57561";"";"2098234";"26";"53";"No";"No";"No";"2263";"539";"33";"20";"100";"45";"10";"56";"34";"53";"0";"33";"67";"163.pdf";"ODG 4) Tper DNF19_compressed_0.pdf"
"TREVI FINANZIARIA INDUSTRIALE SPA";"Construction and Engineering";"439909";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"73";"2";"8";"27";"2";"Si";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"No";"Referenced";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"80832";"";"";"4626";"";"1150968";"272852";"";"";"3689";"14";"";"No";"No";"No";"5408";"493";"36";"12";"";"42";"14";"65";"21";"56";"0";"18";"82";"90.pdf";"Dichiarazione non finanziaria _ Gruppo Trevi _ Ita_2019.pdf"
"TXT E-SOLUTIONS";"Retailers";"465100";"";"Lombardia";"SI";"Societa-azioni-quotate";"DNF";"Report-separato";"27";"2";"4";"5";"2";"No";"No";"No";"No";"Si (2017-2018)";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Lista";"No";"No";"No";"No";"N.R.";"364";"215";"283";"";"299";"7600";"";"";"";"";"1";"";"No";"No";"No";"579";"207";"29";"20";"";"38";"30";"58";"12";"54";"0";"29";"71";"11.pdf";"19_TXT_-_DNF_2019.pdf.pdf"
"UNIONE DI BANCHE ITALIANE SPA";"Banks";"	641910";"";"Lombardia";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"109";"6";"15";"46";"1";"No";"No";"No";"Si";"No";"Si";"Si";"Si";"Si";"Si";"Si";"Comprehensive";"UN Global Compact";"UN_GC";"Si";"Si";"Si";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Mono-STK";"14509";"35534";"1777";"";"";"";"374678";"";"";"2130";"3";"18";"No";"No";"No";"11343";"8693";"";"35";"96";"47";"5";"55";"40";"";"";"";"";"202.pdf";"UBI Banca - Dichiarazione consolidata di carattere non finanziario 2019_new.pdf"
"UNICREDIT SPA";"Banks";"	641910";"";"Lazio";"SI";"Servizi-Finanziari";"Report-Integrato";"Report-separato";"167";"4";"8";"44";"7";"Si";"No";"No";"Si";"Si (2015-2018)";"No";"Si";"Si";"Si";"Si";"Si";"Core";"UN Global Compact; IIRC";"UN_IIRC";"Si";"Si";"No";"Entrambi";"Si";"Si";"Si";"Si";"Survey; Workshop Multi-STK";"45721";"178217";"66381";"";"8938";"432000";"1881000";"";"";"";"34";"16";"No";"No";"No";"52354";"40719";"36";"12";"90";"";"";"";"";"57";"0";"14";"86";"151.pdf";"IR_ITA2019.pdf"
"UNIEURO SPA";"Retailers";"464310";"";"Emilia Romagna";"SI";"Societa-azioni-quotate";"DNF";"Incluso-nella-Relazione-sulla-Gestione";"50";"2";"6";"22";"4";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Si";"Core";"";"";"No";"No";"No";"Entrambi";"Si";"Si";"Si";"Si";"Workshop Multi-STK";"309";"";"";"25332";"811";"247727";"";"";"";"19144";"6";"";"No";"No";"No";"2638";"2396";"44";"20";"117";"41";"13";"73";"14";"57";"0";"0";"100";"203.pdf";"UNIEURO_RelazioneFinanziariaAnnuale2019-20.pdf"
"UNIPOL GRUPPO SPA";"Financial Services";"	642000";"";"Emilia Romagna";"SI";"Servizi-Finanziari";"Report-di-Sostenibilita";"Report-separato";"83";"14";"3";"37";"2";"Si";"No";"No";"Si";"No";"No";"Si";"Si";"Si";"No";"Si";"Referenced";"";"";"Si";"No";"Si";"Matrice";"Si";"Si";"Si";"Si";"Survey";"9980";"";"";"38668";"7478795";"";"";"";"";"";"7";"";"No";"No";"No";"5658";"6616";"35";"27";"93";"47";"6";"54";"40";"59";"0";"5";"95";"54.pdf";"bilancio-sostenibilit"
