freq,wstatus,age,unit,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EMP_TEMP,Y20-64,PC_PNT,LT	1.1 	1.4 	1.5 	1.1 	1.2 	1.3 	0.4 	0.2 	0.5 	0.2 	0.1 	0.1 	0.0 	-0.2 	0.0 	-0.1 
A,EMP_TEMP,Y20-64,PC_PNT,LU	-2.0 	-2.3 	-2.1 	-1.1 	-3.0 	-2.4 	-0.2 b	-0.5 	-0.9 	-1.7 	-0.2 	-1.2 	-1.7 	-0.6 	-1.5 	-1.2 
A,EMP_TEMP,Y20-64,PC_PNT,LV	1.8 	2.5 	1.1 	1.9 	1.0 	1.1 	0.9 	0.8 	0.7 	0.2 	0.7 	0.1 	0.8 	0.6 	0.6 	0.7 
A,EMP_TEMP,Y20-64,PC_PNT,ME	: 	: 	-2.7 	-2.8 	-2.7 	-0.5 	-5.1 	-1.2 	-1.7 	-1.4 	0.1 	1.6 	: 	: 	: 	: 
A,EMP_TEMP,Y20-64,PC_PNT,MK	2.2 	2.7 	2.2 	1.2 	0.7 	1.5 	1.0 	1.4 	1.2 	1.7 	1.4 	2.7 	: 	: 	: 	: 
A,EMP_TEMP,Y20-64,PC_PNT,MT	-2.7 	-2.7 	-3.0 	-2.1 	-2.8 	-3.5 	-2.8 	-2.7 	-2.3 	-1.7 	-3.2 	-4.1 	-3.2 	-2.8 	-1.6 	1.1 
A,EMP_TEMP,Y20-64,PC_PNT,NL	-6.7 	-5.7 	-5.1 	-5.0 	-5.0 	-4.7 	-5.1 	-5.1 	-5.2 	-5.4 	-4.8 	-4.5 	-4.5 	-4.9 	-5.2 	-5.0 
A,EMP_TEMP,Y20-64,PC_PNT,NO	-4.1 	-3.8 	-3.8 	-4.5 	-4.7 	-4.6 	-3.9 	-3.9 	-3.3 	-2.7 	-3.5 	-3.4 	-3.5 	-2.7 	-2.5 	-3.6 
A,EMP_TEMP,Y20-64,PC_PNT,PL	-1.9 	-1.6 b	-0.7 	-0.9 	-1.1 	-1.6 	-2.0 	-2.4 	-2.9 	-3.3 	-3.8 b	-3.3 	-2.2 	-3.0 	-3.5 	-3.4 
A,EMP_TEMP,Y20-64,PC_PNT,PT	-2.9 	-2.8 	-2.2 	-1.4 	-1.6 	-1.2 	-0.8 	-1.2 	-0.9 	-1.7 	-1.6 	-1.7 	-1.2 	-1.0 	-1.5 	-1.3 
